Symbol,Issue_Name,Primary_Listing_Mkt
CPF,Central Pacific Financial Corporation,NYSE
CPFH,"Capital Financial Holdings, Inc. Common Stock",U
CPFXF,Copper Fox Metals Inc Common Shares (Canada),U
CPG,CRESCENT POINT ENERGY CORP.,NYSE
CPGPY,"CPP Group, PLC American Depositary Receipts - Unsponsored",U
CPGSF,"Cropenergies AG, Mannheim Ordinary Shares (Germany)",U
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,NASDAQ
CPHGF,CONSUN PHARMACEUTICAL GROUP LTD HKD SHS (Cayman Islands),U
CPHI,"China Pharma Holdings, Inc.",AMEX
CPHRF,Cipher Pharmaceuticals Inc Ordinary Shares (Canada),U
CPI,CPI Inflation Hedged ETF,ARCA
CPIHF,"Champion Technology Holdings, Ltd. Ordinary Shares",U
CPIVF,CAPTIVA VERDE WELLNESS CORP Common Shares,U
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,NASDAQ
CPK,Chesapeake Utilities,NYSE
CPKB,Chesapeake Bancorp Common Stock,U
CPKF,Chesapeake Financial Shares Inc Common Stock,U
CPKOF,Castle Peak Mining Ltd Common Shares (Canada),U
CPKPF,CP Pokphand Co Ltd  Ordinary Shares (Bermuda) USD $.01 Par,U
CPKPY,C P Pokphand Co Ltd Sponsored ADR (Bermuda) USD,U
CPLCF,IShares VII PLC Exchange Traded Fund,U
CPLG,CorePoint Lodging Inc. Common Stock,NYSE
CPLLF,"Colopl, Inc. Common Stock (Japan)",U
CPLP,Capital Product Partners L.P. Common Units,NASDAQ
CPLT,"CommercePlanet, Inc. Common Stock",U
CPMD,CANNAPHARMARX INC Common Stock,U
CPMMF,CRYSTAL PEAK MINERALS INC Common Shares,U
CPMV,Mosaic ImmunoEngineering Inc. Common Stock,U
CPNBF,Cpt Telefonica Del Peru Ser A Ordinary Shares,U
CPNFF,Euro Sun Mining Inc. Common Shares,U
CPNG,"Coupang, Inc.",NYSE
CPOIF,CAPSTONE INFRASTRUCTURE CORP (Canada),U
CPOUF,Charoen Pokphand Fedmill Public Co Ltd Units Non Vtg Dep Rcpt,U
CPPBY,Central Pattana Public Company Ltd Unsponsored ADR (Thailand),U
CPPCY,CP All Pub Co Ltd Unsponsored ADR (Thailand),U
CPPKF,COPPERBANK RES CORP  Ordinary Shares,U
CPPMF,Copper Mtn Mng Corp Common shares (Canada),U
CPPSF,Cassiopea SPA Ordinary Shares (Italy),U
CPPTF,Circle Property Plc Shs (Jersey),U
CPPXF,Continental Energy Corporation Ordinary Shares (Canada),U
CPQQ,China Power Equipment Inc. Common Stock,U
CPRGF,CPN RETAIL GROWTH LEASEHOLD REIT Foreign Units (Thailand),U
CPRHF,CAPITAL PWR CORP CUMULATIVE RATE RESET PREF SER 3 Preferred Stock Canada(CA ),U
CPRI,Capri Holdings Limited,NYSE
CPROF,"Cortelco Systems Puerto Rico, Inc. Ordinary Shares (Puerto Rico)",U
CPRRF,ALLIED COPPER CORP Common Shares,U
CPRT,"Copart, Inc. (DE) Common Stock",NASDAQ
CPRX,"Catalyst Pharmaceuticals, Inc. Common Stock",NASDAQ
CPS,Cooper-Standard Automotive Inc.,NYSE
CPSH,CPS Technologies Corp. Common Stock,NASDAQ
CPSI,"Computer Programs and Systems, Inc. Common Stock",NASDAQ
CPSJF,Cerro Mining Corp. Ordinary Shares,U
CPSL,"Catapult Solutions, Inc. Common Stock",U
CPSN,Capstone Sys Inc Common Stock,U
CPSO,"CapSource Financial, Inc. (CO) Common Stock",U
CPSR,Capstar Special Purpose Acquisition Corp.,NYSE
CPSR U,"Capstar Special Purpose Acquisition Corp. Units, each consisting of one share of Class A Common Stoc",NYSE
CPSR WS,"Capstar Special Purpose Acquisition Corp. Warrants, each whole warrant exercisable for one share of",NYSE
CPSS,"Consumer Portfolio Services, Inc. Common Stock",NASDAQ
CPSV,"Consumer Products Services Group, Inc. Common Stock",U
CPT,Camden Property Trust,NYSE
CPTA,Capitala Finance Corp. Common Stock,NASDAQ
CPTAG,Capitala Finance Corp. 5.75% Convertible Notes Due 2022,NASDAQ
CPTAL,Capitala Finance Corp. 6% Notes Due 2022,NASDAQ
CPTFF,XTRACKERS IE PLC Exchange Traded Fund,U
CPTHF,Adams PLC Ordinary shares (Isle of Man),U
CPTK,Crown PropTech Acquisitions,NYSE
CPTK U,"Crown PropTech Acquisitions Units, each consisting of one Class A ordinary share and one-third of on",NYSE
CPTK WS,"Crown PropTech Acquisitions Redeemable warrants, each whole warrant exercisable for one Class A ordi",NYSE
CPTP,"Capital Properties, Inc. Class A Common Stock",U
CPUH,Compute Health Acquisition Corp.,NYSE
CPUH U,"Compute Health Acquisition Corp. Units, each consisting of one share of Class A common stock and one",NYSE
CPUH WS,"Compute Health Acquisition Corp. Redeemable warrants, each whole warrant exercisable for one share o",NYSE
CPVNF,CAPITAL VENTURE EUROPE PLC  Ordinary Shares (United Kingdom),U
CPWHF,Ceres Power Holdings plc Crawley Ordinary Shares,U
CPWIF,China Power International Development Ltd Ordinary Shares (Hong Kong),U
CPWPF,CAPITAL PWR CORP Preference Shares CUM RATE RESET PREF SHS SER 5 Canada(CA ),U
CPWR,Ocean Thermal Energy Corp. Common Stock,U
CPWY,"Clean Energy Pathways, Inc. Common Stock",U
CPXGF,"Cineplex, Inc. Ordinary Shares (Canada)",U
CPXWF,Capital Power Corp. Ordinary Shares (Canada),U
